ENTIDAD,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,UNIDAD DE MEDICION
QUINTANA ROO,1987,29.50956618,31.04047619,32.0420006,32.13558333,34.47084173,33.45602618,32.92359321,33.23934896,33.55555556,31.7218204,31.0439296,30.53663082,°C
SAN LUIS POTOSÍ,1987,21.65970737,23.66999796,25.61818105,27.13742178,30.69654647,30.46367192,27.94231221,30.17611584,30.27397608,27.07914304,24.66252163,24.01706909,°C
SINALOA,1987,27.08236259,27.41833514,29.94514907,33.16575758,34.35780276,37.34763357,36.9921416,34.78910068,35.54923961,35.64292321,31.93767677,28.06115999,°C
SONORA,1987,22.43976975,23.59031192,26.08872665,31.65563405,32.59730041,38.90648076,39.14783378,36.2567801,36.02385307,34.95453757,27.19975166,22.23161731,°C
TABASCO,1987,27.70462833,29.78538647,30.91935484,31.71572464,35.21412357,34.09757411,33.52358871,33.62163188,33.84796296,29.90215054,29.54444444,29.19705069,°C
TAMAULIPAS,1987,22.05396096,25.17261905,26.34722729,29.40754197,32.91257793,33.31494331,32.78502604,34.69242872,33.65152084,31.01442652,27.04595118,25.66118693,°C
TLAXCALA,1987,21.49415249,21.94387283,22.63627496,23.08008514,24.29937965,22.00740741,21.05925558,22.85380052,23.1608409,22.17907304,21.55920772,21.99170507,°C
VERACRUZ DE IGNACIO DE LA LLAVE,1987,23.64594344,24.97205177,25.71661469,26.4501256,31.06813182,30.15938528,28.62324201,29.90563965,30.37570989,27.91050323,26.4541736,25.63105104,°C
YUCATÁN,1987,29.49633654,31.22362528,32.7341635,33.11668402,36.58672457,34.82444957,34.28464755,34.07583578,34.16941066,31.86389529,31.73055008,31.21241134,°C
ZACATECAS,1987,20.04225585,22.04937407,24.28845849,27.13409637,28.24634695,29.15321211,26.72909429,27.02003186,26.818493,25.51443001,23.55678047,22.05996818,°C
AGUASCALIENTES,1988,21.70823733,24.85856617,25.04394863,27.7762963,30.86293556,28.33598629,25.44390681,25.14689826,25.29696902,25.84447481,26.14689796,23.20654559,°C
BAJA CALIFORNIA,1988,20.00415985,22.28438969,24.04672585,24.9613637,27.67283906,30.0620783,33.98869891,33.1850126,31.84653969,29.57821984,23.48301387,20.02495989,°C
BAJA CALIFORNIA SUR,1988,24.93180213,27.00560421,27.70020957,28.73936275,30.77909063,33.73149824,34.77744363,35.3894039,34.74016803,31.84166939,27.9155119,25.014234,°C
CAMPECHE,1988,29.91797235,31.48650347,33.4593414,36.00454773,36.38514785,34.75837252,34.55639675,34.11764706,32.93569954,32.19098896,32.34263566,30.35916601,°C
COAHUILA  DE ZARAGOZA,1988,18.29469193,20.96414795,24.77817192,28.20866167,30.9647731,31.78553797,31.61833248,30.41930492,28.93912527,26.42559107,25.6590482,21.06137097,°C
COLIMA,1988,32.47276896,34.15429275,32.87242159,33.62112192,33.48919348,33.0904411,32.41888527,31.61021313,31.45959857,32.54446265,32.36111111,31.94310196,°C
CHIAPAS,1988,28.03790122,29.61979047,31.11943738,32.79239008,32.92350784,30.76593459,30.18877853,29.65665198,29.20645609,28.23559306,29.21687141,28.18566698,°C
CHIHUAHUA,1988,18.01919767,20.66790992,23.18925932,26.33865854,31.07752104,32.05895692,29.75900274,29.21358879,29.77390565,27.44572853,24.37163018,18.74395161,°C
DISTRITO FEDERAL,1988,21.5197627,23.59445813,24.01529271,26.63964286,27.33021505,24.68347826,23.92412342,24.10276498,23.77151515,23.36612903,24.20074074,21.53058377,°C
DURANGO,1988,20.39992699,22.8683452,24.40540427,27.17563218,30.67367042,29.30400739,26.62599464,27.23254524,26.98071139,26.26702509,25.49147845,21.83604192,°C
GUANAJUATO,1988,22.83069719,25.67204631,25.7324129,29.25802646,31.61103698,29.40533479,26.47012352,26.15457211,25.69661884,25.48958789,26.19767954,24.14803116,°C
GUERRERO,1988,31.09142603,32.3462284,32.86857512,34.06611445,34.56610491,32.43686819,30.84439146,30.26120009,30.27798942,31.41419184,31.67996979,31.12123952,°C
HIDALGO,1988,21.33515765,23.72689496,24.15755411,27.02510516,27.8991791,25.18205128,24.19079034,23.83107698,22.81852415,22.4384096,24.13190514,21.91006382,°C
JALISCO,1988,26.86727878,28.94464294,28.45508768,31.41383894,33.64916129,31.19892142,28.25162116,27.97977517,28.55136487,28.95443269,28.73605268,26.8960565,°C
MÉXICO,1988,21.39441553,23.24194916,23.07580287,25.8330019,27.06104518,23.65306178,22.28057739,22.30160437,22.07187768,22.19477137,23.05866468,21.55979267,°C
MICHOACÁN DE OCAMPO,1988,26.20651135,28.38247189,27.92733051,30.65227925,32.46095215,29.81623495,27.0212646,26.72979332,26.6191181,26.84614269,27.07408975,25.64396479,°C
MORELOS,1988,27.95613715,29.94757344,30.65324731,33.05944444,33.65220126,30.52238994,28.53276177,27.85868817,27.34445341,28.29362007,29.01755556,28.08478261,°C
NAYARIT,1988,30.05949147,31.59147634,31.49918406,33.0326572,35.2173998,33.92455713,32.14106423,31.93103943,31.6391954,32.93818484,31.58615291,30.15490635,°C
NUEVO LEÓN,1988,17.25132755,20.99814682,24.73812747,27.83020841,29.69257432,30.93224698,31.22366218,30.31831637,28.14185707,26.16772365,25.49622373,21.01327287,°C
OAXACA,1988,27.24053099,28.65827723,29.93562217,31.33541874,31.85637535,29.46246268,28.54475988,27.72872242,27.55580072,27.68292033,29.00981682,27.62730711,°C
PUEBLA,1988,22.41446089,23.61961899,25.04918409,26.98140351,27.97752205,25.58587159,25.16398168,24.40018135,24.29300766,23.2655815,24.50767207,22.46682211,°C
QUERÉTARO,1988,21.95435767,24.85136116,25.44012278,28.70676648,30.92100833,28.2472973,25.89818031,25.36992004,24.43539919,23.83173579,25.67806151,22.82446237,°C
QUINTANA ROO,1988,28.98953198,29.9125139,31.71935484,33.70483871,34.60322581,33.26030303,33.41225778,33.07758986,32.8425392,31.53723739,30.9283908,29.09160973,°C
SAN LUIS POTOSÍ,1988,21.36606995,23.99379269,26.59915609,30.3407022,31.18920557,30.50442701,29.21170763,28.79733439,28.86454579,27.18696459,27.70966746,23.19471155,°C
SINALOA,1988,28.36130184,30.80284577,31.35173051,32.90139346,35.0119667,36.83022681,34.6064994,34.9634767,34.5341954,34.5155631,31.79356725,28.37470289,°C
SONORA,1988,23.09552334,25.76436042,27.59391097,29.856115,34.27398577,38.65019187,36.19483956,35.79873322,35.6752337,33.39070159,28.0747385,22.39126801,°C
TABASCO,1988,26.82850877,28.29908132,31.41166253,34.86032544,36.09112903,34.63865606,34.55436081,33.86960889,32.91373333,30.1382765,30.98386243,28.23337469,°C
TAMAULIPAS,1988,20.88268115,24.83455632,28.26715749,32.11778002,33.19170507,33.72879718,33.45095745,32.95321576,31.79724868,29.94505017,29.15728719,24.95602564,°C
TLAXCALA,1988,20.27419122,22.40623294,22.65399194,24.82878891,25.7726579,22.20797448,21.8347366,21.44272033,21.15626568,21.17014262,22.81813348,20.46727653,°C
VERACRUZ DE IGNACIO DE LA LLAVE,1988,23.21303721,24.65800798,26.77760838,30.65708016,31.16436118,30.12073916,29.91760039,29.34615647,28.99230865,26.96788507,28.22420486,24.12834059,°C
YUCATÁN,1988,29.47050244,30.64921775,32.7802737,35.14270328,36.22540452,34.52747024,34.18477461,33.74995994,33.08589655,32.37488479,31.86814102,30.46397022,°C
ZACATECAS,1988,21.41253205,23.93664312,24.36157533,27.58100722,30.55000597,28.5655625,25.84317454,25.90319224,26.28427377,26.32328872,25.76503043,23.12543907,°C
AGUASCALIENTES,1989,23.45076535,24.14182692,25.82179617,27.72735849,30.62196169,29.88915853,27.68281638,25.23459836,24.81013072,26.02744299,24.77941176,19.8959074,°C
BAJA CALIFORNIA,1989,18.83746935,21.34579582,24.79934756,27.89481274,27.91851646,31.18646813,33.52470673,32.14512435,32.66373557,27.40111145,25.14232483,22.09280289,°C
BAJA CALIFORNIA SUR,1989,22.17864486,25.12170596,27.74872934,30.68910256,31.91970674,32.74676516,34.82486394,34.59354519,34.98117418,32.82967513,28.62151713,24.88840782,°C
CAMPECHE,1989,31.61601978,31.92928571,33.53120474,35.14652778,35.90759409,36.23524884,35.08927232,34.64538073,33.39847142,32.5469229,32.10863091,29.7144036,°C
COAHUILA  DE ZARAGOZA,1989,21.83021463,22.383947,25.85021505,29.44929845,32.78301397,32.99655909,32.35720933,31.29950871,29.51182141,27.46418671,23.74934487,17.23252482,°C
COLIMA,1989,32.27424731,32.1299062,30.92302867,32.76190476,33.71251222,33.50759707,32.32551156,32.4267077,31.35917989,31.87602919,32.11644144,30.2004417,°C
CHIAPAS,1989,28.71046741,28.3885422,29.89717007,31.83876591,31.81406291,30.35905155,30.16998545,29.91260861,28.28287367,28.32572224,28.83519857,27.49587783,°C
CHIHUAHUA,1989,18.32053983,21.41437577,25.00655456,29.18021613,32.32658547,34.82875527,32.01489122,29.28174786,28.73491379,26.8507689,21.94258772,16.69859733,°C
DISTRITO FEDERAL,1989,22.85253456,21.8452381,22.89784946,24.13833333,26.70805563,25.255,23.71451613,23.36612903,21.62,22.8184262,22.99848485,20.39716129,°C
DURANGO,1989,21.73562918,23.73766624,24.99646905,28.37015973,30.82098984,31.78814815,29.14920346,27.30409161,26.44983219,25.55700993,22.67795019,18.3920784,°C
GUANAJUATO,1989,24.95101357,24.93713733,26.55915335,28.6485365,30.94298568,29.81149425,27.39043382,25.99414632,25.03871345,26.21782834,25.8855848,22.28473076,°C
GUERRERO,1989,31.4956212,32.00231625,32.36420285,34.17754262,34.45453069,32.25629119,31.01032258,30.63669568,29.71697201,30.2234283,31.24616667,30.13423593,°C
HIDALGO,1989,22.78110008,22.53922263,24.90554553,25.78051282,27.60600496,26.23230769,24.4746433,23.98254561,22.43544974,23.1187916,23.79983051,20.84705581,°C
JALISCO,1989,27.51736561,28.23951131,29.4524098,31.66605777,33.36549708,32.40959869,29.1076046,27.86399018,27.46478995,28.60723325,27.79100415,24.22870043,°C
MÉXICO,1989,22.01968533,22.10968333,23.41260351,24.56340795,25.47759179,23.7898616,22.09535179,21.79516425,20.70035556,21.84669156,22.39063701,20.18698013,°C
