ENTIDAD,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,UNIDAD DE MEDICION
MICHOACÁN DE OCAMPO,1988,6.842158502,9.35513763,10.53377135,11.88476744,13.329377,15.16872115,15.16801182,15.21663639,13.80177195,11.57445688,8.459708995,7.561370838,°C
MORELOS,1988,9.323371881,11.45849298,13.50533333,15.00074074,16.19720024,16.78628931,15.80316494,15.96124731,15.15822695,14.01354839,11.19992593,9.971949509,°C
NAYARIT,1988,10.28856305,12.51841693,13.04337919,14.90877282,16.76233301,20.38284314,21.67583525,21.26157706,21.39238506,19.67706962,15.87103175,13.42663495,°C
NUEVO LEÓN,1988,4.0897971,6.523815414,8.901848289,12.51272489,16.22409235,17.31643013,18.16202843,17.97178623,15.54115189,13.19826303,9.90036872,6.994675561,°C
OAXACA,1988,12.30965791,12.97378686,14.51165128,15.74894942,16.45935247,16.87007189,16.56654962,16.48914188,16.07283105,14.99520283,14.1809237,12.94762866,°C
PUEBLA,1988,6.001075269,7.514806882,9.193382108,10.92908772,12.02183158,12.45463943,11.86371257,11.81209356,10.85192593,9.796276091,7.648926741,6.7025209,°C
QUERÉTARO,1988,4.126315789,6.526225046,7.872624237,10.84833333,12.56425458,13.67117117,13.61414392,13.24444444,11.06329606,8.784239631,6.858648649,5.995340502,°C
QUINTANA ROO,1988,17.09523933,16.86695773,18.00866716,19.77418984,20.29569892,21.77644026,21.4537487,21.56847465,21.62983123,20.26119176,19.12126437,16.90797712,°C
SAN LUIS POTOSÍ,1988,6.866266542,8.580759994,10.50813621,13.90528716,16.57234396,17.48805016,17.62247222,17.2322472,16.14342606,13.98939984,10.83156464,9.497406267,°C
SINALOA,1988,9.158046412,11.12476941,11.13634913,13.69851282,16.29552549,21.05460685,22.90389145,22.98463902,23.09741379,19.96983588,13.99005848,11.36677985,°C
SONORA,1988,4.708500086,6.926948391,7.271917611,10.57786262,13.83474892,19.30464124,22.0415384,22.37462112,19.63916172,16.12870364,8.406278687,4.605706,°C
TABASCO,1988,18.88606183,18.83056924,19.96873449,22.43412229,22.88325062,23.19671972,22.7220743,23.04400331,22.95076923,21.77773733,20.74413019,18.95930521,°C
TAMAULIPAS,1988,8.408317263,11.16638565,13.51131831,17.10318207,19.99923386,20.91953027,21.32383788,21.30170469,19.75475369,17.54227712,14.72930225,11.85291067,°C
TLAXCALA,1988,1.077196314,3.16596218,4.867867944,6.548599321,7.586115721,9.355673323,8.413042613,8.457295091,7.015445809,5.408117812,2.772045455,1.665297225,°C
VERACRUZ DE IGNACIO DE LA LLAVE,1988,12.92198665,13.29259025,15.10851096,17.80474498,19.36477963,19.6339372,19.32607686,19.27162381,18.48577867,16.90279236,15.56915719,13.46002649,°C
YUCATÁN,1988,16.33330375,15.83067914,17.95738764,19.5687037,20.7999535,21.49608873,21.19081679,20.91236799,21.07575172,19.60254896,18.32834928,16.60352082,°C
ZACATECAS,1988,2.31754714,4.733131046,5.641041586,8.894313725,11.06669227,12.99047286,13.28303743,13.11011416,11.57849993,8.37764007,5.720500611,4.114542469,°C
AGUASCALIENTES,1989,4.765596295,4.920741758,4.899026172,8.66163522,10.88757701,12.92383648,12.35204715,12.83504111,10.78826331,7.716403758,6.278814514,3.66590528,°C
BAJA CALIFORNIA,1989,4.188703661,5.324689223,8.002905876,10.52220587,11.08227266,14.20859704,17.00375933,16.44997227,14.73210086,11.09797377,7.895646535,5.899276673,°C
BAJA CALIFORNIA SUR,1989,7.064230181,9.301144244,10.29001933,12.5286859,14.06517882,16.09004176,20.21444723,20.91885369,20.75826093,17.3164963,13.22908246,9.644759765,°C
CAMPECHE,1989,16.7955983,16.16607143,17.30480579,19.38333333,21.00840054,21.30107822,20.22955739,20.74957209,20.72974537,19.40629147,19.1430728,15.64553638,°C
COAHUILA  DE ZARAGOZA,1989,6.292743448,6.179703357,8.260007635,12.39162749,15.83195077,16.95736842,17.20615889,17.05140324,14.72481398,10.93730205,8.566733045,3.355486945,°C
COLIMA,1989,13.76636618,13.87303391,13.01702509,14.51290261,16.12121212,18.29128205,19.16990459,19.09956495,18.77790404,18.64371121,17.62237237,14.79226202,°C
CHIAPAS,1989,15.31443567,14.44813513,14.4872404,17.53103282,18.89197326,19.08978803,18.54582222,18.64348315,18.69116592,17.82643835,17.45321646,14.95886576,°C
CHIHUAHUA,1989,0.105578719,2.970477316,4.332442095,8.557948718,11.15521451,15.05722889,16.19816954,15.79121407,13.11964286,7.879547243,3.105087719,-0.746702634,°C
DISTRITO FEDERAL,1989,5.601382488,5.234126984,5.607526882,7.046666667,9.713699204,10.67166667,9.135483871,9.24984639,9.03,7.021407625,6.859090909,5.027303557,°C
DURANGO,1989,2.824500195,4.310680873,4.253511576,8.251082251,10.95903668,13.5662037,14.17470873,14.05884653,11.65070474,8.034677419,4.813675214,1.999265006,°C
GUANAJUATO,1989,6.470086374,6.338813264,6.655886376,10.13662129,12.74811562,13.72442529,12.76585095,12.70455231,11.45114035,8.249337558,8.039590643,5.276732378,°C
GUERRERO,1989,16.13691225,16.45078202,16.52805317,18.17767111,20.05358341,20.41335888,19.56654719,19.57494629,19.3005598,18.33588415,17.6676642,16.29653873,°C
HIDALGO,1989,5.349578164,4.80521978,5.258056997,7.529230769,10.01488834,11.21435897,10.95822348,11.23945409,10.52222222,7.009114183,7.329943503,4.688581669,°C
JALISCO,1989,7.245720463,7.933863459,7.44427692,10.75923654,13.08847591,15.84219656,15.43521049,15.58514106,14.31488547,11.90735386,9.695259368,7.390029527,°C
MÉXICO,1989,3.564865432,3.593953491,4.269049728,6.316906388,8.378006841,9.912777795,9.504444345,9.750296468,9.723717631,6.830056911,5.925669042,4.134000944,°C
MICHOACÁN DE OCAMPO,1989,8.344932195,8.535248918,8.686830973,10.99587629,13.52308432,15.22410776,14.67677069,14.75759116,14.15934977,11.52426373,10.79193221,8.319654554,°C
MORELOS,1989,10.43169706,10.45769841,11.45077139,13.98881482,15.78379928,16.39977778,15.04325513,15.30975073,15.38219697,13.25138785,12.29515152,10.36818182,°C
